agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,0.369,1000.0
MM_0,MarketMaker,1.925,1250.0
MM_0,MarketMaker,2.135,1000.0
MM_0,MarketMaker,5.658,1001.5
MM_0,MarketMaker,5.659,1003.0
MM_0,MarketMaker,5.726,1004.5
MM_0,MarketMaker,5.799,1005.0
MM_0,MarketMaker,5.871,1006.5
MM_0,MarketMaker,5.872,1008.0
MM_0,MarketMaker,5.873,1023.0
MM_0,MarketMaker,6.101,1024.5
MM_0,MarketMaker,6.152,1035.0
MM_0,MarketMaker,6.153,1038.0
MM_0,MarketMaker,6.317,1039.5
MM_0,MarketMaker,6.379,1041.0
MM_0,MarketMaker,6.38,1042.5
MM_0,MarketMaker,6.38,1044.0
MM_0,MarketMaker,6.453,1045.5
MM_0,MarketMaker,6.524,1047.0
MM_0,MarketMaker,6.596,1048.5
MM_0,MarketMaker,6.656,1053.5
MM_0,MarketMaker,6.656,1055.0
MM_0,MarketMaker,6.679,1056.5
MM_0,MarketMaker,7.179,1057.0
MM_0,MarketMaker,7.291,1059.0
MM_0,MarketMaker,7.326,1059.5
MM_0,MarketMaker,7.409,1060.0
MM_0,MarketMaker,7.41,1067.5
MM_0,MarketMaker,7.481,1068.0
MM_0,MarketMaker,7.541,1068.5
MM_0,MarketMaker,7.553,1069.0
MM_0,MarketMaker,7.553,1069.5
MM_0,MarketMaker,7.615,1070.0
MM_0,MarketMaker,7.615,1070.5
MM_0,MarketMaker,7.615,1071.0
MM_0,MarketMaker,7.679,736.0
MM_0,MarketMaker,7.679,571.0
MM_0,MarketMaker,7.679,736.0
MM_0,MarketMaker,7.981,737.0
MM_0,MarketMaker,7.981,738.0
MM_0,MarketMaker,7.981,739.0
MM_0,MarketMaker,7.983,1071.0
MM_0,MarketMaker,8.21,586.5
MM_0,MarketMaker,8.211,264.0
MM_0,MarketMaker,8.211,586.5
MM_0,MarketMaker,8.211,466.5
MM_0,MarketMaker,8.269,468.5
MM_0,MarketMaker,8.269,470.5
MM_0,MarketMaker,8.269,472.5
MM_0,MarketMaker,8.342,474.5
MM_0,MarketMaker,8.342,476.5
MM_0,MarketMaker,8.342,478.5
MM_0,MarketMaker,8.386,508.5
MM_0,MarketMaker,8.414,510.5
MM_0,MarketMaker,8.414,512.5
MM_0,MarketMaker,8.416,514.5
MM_0,MarketMaker,8.479,540.5
MM_0,MarketMaker,8.487,542.5
MM_0,MarketMaker,8.488,544.5
MM_0,MarketMaker,8.488,546.5
MM_0,MarketMaker,8.518,1148.5
MM_0,MarketMaker,8.561,1150.5
MM_0,MarketMaker,8.561,1152.5
MM_0,MarketMaker,8.561,1154.5
MM_0,MarketMaker,8.634,1156.5
MM_0,MarketMaker,8.635,1158.5
MM_0,MarketMaker,8.635,1160.5
MM_0,MarketMaker,8.707,1162.5
MM_0,MarketMaker,8.708,1164.5
MM_0,MarketMaker,8.708,1166.5
MM_0,MarketMaker,8.764,660.5
MM_0,MarketMaker,8.765,651.5
MM_0,MarketMaker,8.767,653.0
MM_0,MarketMaker,8.779,654.5
MM_0,MarketMaker,8.779,656.0
MM_0,MarketMaker,8.923,656.5
MM_0,MarketMaker,8.924,658.0
MM_0,MarketMaker,8.935,659.5
MM_0,MarketMaker,8.997,661.0
MM_0,MarketMaker,8.997,662.5
MM_0,MarketMaker,9.078,677.5
MM_0,MarketMaker,9.144,679.0
MM_0,MarketMaker,9.216,680.5
MM_0,MarketMaker,9.216,682.0
MM_0,MarketMaker,9.217,683.5
MM_0,MarketMaker,9.373,684.5
MM_0,MarketMaker,9.435,685.5
MM_0,MarketMaker,9.509,686.5
MM_0,MarketMaker,9.509,687.5
MM_0,MarketMaker,9.518,692.5
MM_0,MarketMaker,9.653,693.0
MM_0,MarketMaker,9.653,693.5
MM_0,MarketMaker,9.728,694.5
MM_0,MarketMaker,9.738,695.5
MM_0,MarketMaker,9.802,696.5
MM_0,MarketMaker,9.803,697.5
MM_0,MarketMaker,10.056,698.5
MM_0,MarketMaker,10.056,699.0
MM_0,MarketMaker,10.162,700.0
MM_0,MarketMaker,10.217,708.0
MM_0,MarketMaker,10.236,709.0
MM_0,MarketMaker,10.308,710.0
MM_0,MarketMaker,10.38,710.5
MM_0,MarketMaker,10.391,711.0
MM_0,MarketMaker,10.454,711.5
MM_0,MarketMaker,10.465,712.5
MM_0,MarketMaker,10.528,713.5
MM_0,MarketMaker,10.528,714.5
MM_0,MarketMaker,10.602,715.5
MM_0,MarketMaker,10.613,716.5
MM_0,MarketMaker,10.675,717.5
MM_0,MarketMaker,10.675,718.5
MM_0,MarketMaker,10.675,719.5
MM_0,MarketMaker,10.698,1046.5
MM_0,MarketMaker,10.7,1056.5
MM_0,MarketMaker,10.749,1057.5
MM_0,MarketMaker,10.749,1058.5
MM_0,MarketMaker,10.75,1059.5
MM_0,MarketMaker,10.823,1060.0
MM_0,MarketMaker,10.823,1060.5
MM_0,MarketMaker,10.905,1061.5
MM_0,MarketMaker,10.938,1064.5
MM_0,MarketMaker,10.968,1065.5
MM_0,MarketMaker,10.968,1066.5
MM_0,MarketMaker,10.968,1067.5
MM_0,MarketMaker,10.969,951.5
MM_0,MarketMaker,10.97,1067.5
MM_0,MarketMaker,10.97,750.5
MM_0,MarketMaker,10.97,650.5
MM_0,MarketMaker,10.97,616.5
MM_0,MarketMaker,10.97,650.5
MM_0,MarketMaker,11.231,1375.0
MM_0,MarketMaker,11.231,1385.0
MM_0,MarketMaker,11.481,1220.0
MM_0,MarketMaker,11.482,1135.0
MM_0,MarketMaker,11.482,1220.0
MM_0,MarketMaker,11.786,1872.0
MM_0,MarketMaker,11.786,2062.0
MM_0,MarketMaker,11.846,2065.5
MM_0,MarketMaker,11.846,2069.0
MM_0,MarketMaker,11.847,2072.5
MM_0,MarketMaker,11.92,2073.0
MM_0,MarketMaker,11.92,2073.5
MM_0,MarketMaker,11.921,2081.5
MM_0,MarketMaker,12.0,2093.5
MM_0,MarketMaker,12.013,1658.5
MM_0,MarketMaker,12.014,2093.5
MM_0,MarketMaker,12.014,2092.5
MM_0,MarketMaker,12.137,2093.0
MM_0,MarketMaker,12.209,2093.5
MM_0,MarketMaker,12.219,2094.0
MM_0,MarketMaker,12.424,2094.5
MM_0,MarketMaker,12.435,2095.0
MM_0,MarketMaker,12.504,2100.5
MM_0,MarketMaker,12.548,2101.5
MM_0,MarketMaker,12.548,2102.5
MM_0,MarketMaker,12.569,2103.0
MM_0,MarketMaker,12.579,2103.5
MM_0,MarketMaker,12.579,2104.0
MM_0,MarketMaker,13.426,2354.0
MM_0,MarketMaker,13.631,2353.5
MM_0,MarketMaker,13.648,2358.0
MM_0,MarketMaker,13.659,2358.5
