agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,0.892,250.0
MM_0,MarketMaker,3.332,0.0
MM_0,MarketMaker,5.449,2.0
MM_0,MarketMaker,5.5,4.0
MM_0,MarketMaker,5.54,-992.0
MM_0,MarketMaker,5.541,4.0
MM_0,MarketMaker,5.541,0.0
MM_0,MarketMaker,5.767,18.0
MM_0,MarketMaker,5.788,20.0
MM_0,MarketMaker,5.798,22.0
MM_0,MarketMaker,5.807,24.0
MM_0,MarketMaker,5.86,26.0
MM_0,MarketMaker,5.87,28.0
MM_0,MarketMaker,5.879,30.0
MM_0,MarketMaker,5.895,60.0
MM_0,MarketMaker,5.931,62.0
MM_0,MarketMaker,5.942,64.0
MM_0,MarketMaker,5.954,66.0
MM_0,MarketMaker,6.005,68.0
MM_0,MarketMaker,6.016,70.0
MM_0,MarketMaker,6.028,72.0
MM_0,MarketMaker,6.073,-886.0
MM_0,MarketMaker,6.074,72.0
MM_0,MarketMaker,6.074,30.0
MM_0,MarketMaker,6.3,92.0
MM_0,MarketMaker,6.305,94.0
MM_0,MarketMaker,6.318,96.0
MM_0,MarketMaker,6.367,98.0
MM_0,MarketMaker,6.372,132.0
MM_0,MarketMaker,6.378,134.0
MM_0,MarketMaker,6.39,136.0
MM_0,MarketMaker,6.441,138.0
MM_0,MarketMaker,6.451,140.0
MM_0,MarketMaker,6.463,142.0
MM_0,MarketMaker,6.514,144.0
MM_0,MarketMaker,6.525,146.0
MM_0,MarketMaker,6.537,148.0
MM_0,MarketMaker,6.586,148.0
MM_0,MarketMaker,6.598,148.0
MM_0,MarketMaker,6.607,148.0
MM_0,MarketMaker,6.608,148.0
MM_0,MarketMaker,6.608,148.0
MM_0,MarketMaker,6.608,148.0
MM_0,MarketMaker,6.903,148.5
MM_0,MarketMaker,6.965,149.0
MM_0,MarketMaker,7.122,149.5
MM_0,MarketMaker,7.173,150.0
MM_0,MarketMaker,7.208,150.5
MM_0,MarketMaker,7.245,151.0
MM_0,MarketMaker,7.319,151.5
MM_0,MarketMaker,7.34,152.0
MM_0,MarketMaker,7.392,152.5
MM_0,MarketMaker,7.402,153.0
MM_0,MarketMaker,7.466,153.5
MM_0,MarketMaker,7.476,154.0
MM_0,MarketMaker,7.488,154.5
MM_0,MarketMaker,7.539,155.0
MM_0,MarketMaker,7.551,155.5
MM_0,MarketMaker,7.562,156.0
MM_0,MarketMaker,7.613,156.5
MM_0,MarketMaker,7.625,157.0
MM_0,MarketMaker,7.636,157.5
MM_0,MarketMaker,7.697,158.0
MM_0,MarketMaker,7.708,158.5
MM_0,MarketMaker,7.754,162.0
MM_0,MarketMaker,7.759,162.5
MM_0,MarketMaker,7.769,163.0
MM_0,MarketMaker,7.782,163.5
MM_0,MarketMaker,7.832,164.0
MM_0,MarketMaker,7.845,164.5
MM_0,MarketMaker,7.854,165.0
MM_0,MarketMaker,7.954,173.0
MM_0,MarketMaker,7.954,665.0
MM_0,MarketMaker,7.99,666.0
MM_0,MarketMaker,7.99,667.0
MM_0,MarketMaker,8.002,668.0
MM_0,MarketMaker,8.063,669.0
MM_0,MarketMaker,8.114,673.0
MM_0,MarketMaker,8.27,673.5
MM_0,MarketMaker,8.282,674.0
MM_0,MarketMaker,8.44,674.5
MM_0,MarketMaker,8.491,675.5
MM_0,MarketMaker,8.513,676.0
MM_0,MarketMaker,8.774,431.0
MM_0,MarketMaker,8.775,416.0
MM_0,MarketMaker,9.041,438.0
MM_0,MarketMaker,9.08,439.0
MM_0,MarketMaker,9.092,440.0
MM_0,MarketMaker,9.103,441.0
MM_0,MarketMaker,9.154,442.0
MM_0,MarketMaker,9.166,443.0
MM_0,MarketMaker,9.177,444.0
MM_0,MarketMaker,9.227,445.0
MM_0,MarketMaker,9.239,446.0
MM_0,MarketMaker,9.25,447.0
MM_0,MarketMaker,9.299,449.0
MM_0,MarketMaker,9.31,451.0
MM_0,MarketMaker,9.322,453.0
MM_0,MarketMaker,9.33,-541.0
MM_0,MarketMaker,9.331,453.0
MM_0,MarketMaker,9.331,444.0
MM_0,MarketMaker,9.57,449.0
MM_0,MarketMaker,9.853,448.5
MM_0,MarketMaker,9.868,451.5
MM_0,MarketMaker,10.975,451.0
MM_0,MarketMaker,11.086,461.5
MM_0,MarketMaker,11.205,462.5
MM_0,MarketMaker,11.216,463.5
MM_0,MarketMaker,11.288,464.0
MM_0,MarketMaker,11.3,464.5
MM_0,MarketMaker,11.423,465.5
MM_0,MarketMaker,11.445,466.5
MM_0,MarketMaker,11.519,467.0
MM_0,MarketMaker,11.571,468.0
MM_0,MarketMaker,11.583,469.0
MM_0,MarketMaker,11.644,469.5
MM_0,MarketMaker,11.663,477.0
MM_0,MarketMaker,11.739,478.0
MM_0,MarketMaker,11.791,478.5
MM_0,MarketMaker,11.95,479.0
MM_0,MarketMaker,11.961,479.5
MM_0,MarketMaker,11.972,480.5
MM_0,MarketMaker,11.987,492.5
MM_0,MarketMaker,12.011,493.5
MM_0,MarketMaker,12.033,494.0
MM_0,MarketMaker,12.083,494.5
MM_0,MarketMaker,12.105,495.5
MM_0,MarketMaker,12.24,496.5
MM_0,MarketMaker,12.251,497.5
MM_0,MarketMaker,12.262,498.5
MM_0,MarketMaker,12.303,500.0
MM_0,MarketMaker,12.313,501.5
MM_0,MarketMaker,12.386,502.5
MM_0,MarketMaker,12.46,503.5
MM_0,MarketMaker,12.461,504.5
MM_0,MarketMaker,12.483,506.0
MM_0,MarketMaker,12.597,507.5
MM_0,MarketMaker,12.608,537.5
MM_0,MarketMaker,12.608,539.0
MM_0,MarketMaker,12.628,331.5
MM_0,MarketMaker,12.629,539.0
MM_0,MarketMaker,12.629,411.5
MM_0,MarketMaker,13.161,221.0
MM_0,MarketMaker,13.161,161.5
MM_0,MarketMaker,13.161,221.0
MM_0,MarketMaker,13.182,221.5
MM_0,MarketMaker,13.193,222.0
MM_0,MarketMaker,13.204,222.5
MM_0,MarketMaker,13.255,223.0
MM_0,MarketMaker,13.267,223.5
MM_0,MarketMaker,13.341,224.0
MM_0,MarketMaker,13.353,224.5
MM_0,MarketMaker,13.381,411.5
MM_0,MarketMaker,13.695,228.0
MM_0,MarketMaker,13.696,161.5
MM_0,MarketMaker,13.696,228.0
MM_0,MarketMaker,13.697,228.5
MM_0,MarketMaker,13.719,229.0
MM_0,MarketMaker,13.719,229.5
MM_0,MarketMaker,13.77,230.0
MM_0,MarketMaker,13.782,230.5
MM_0,MarketMaker,13.793,231.0
MM_0,MarketMaker,13.854,231.5
MM_0,MarketMaker,13.915,411.5
MM_0,MarketMaker,14.228,235.0
MM_0,MarketMaker,14.229,234.5
MM_0,MarketMaker,14.821,243.0
MM_0,MarketMaker,14.822,251.5
MM_0,MarketMaker,15.068,252.5
MM_0,MarketMaker,15.488,253.5
MM_0,MarketMaker,15.769,254.5
MM_0,MarketMaker,15.77,255.5
MM_0,MarketMaker,15.842,256.0
MM_0,MarketMaker,15.915,257.0
MM_0,MarketMaker,15.916,258.0
MM_0,MarketMaker,15.946,278.0
MM_0,MarketMaker,16.122,279.0
MM_0,MarketMaker,16.135,280.0
MM_0,MarketMaker,16.183,281.0
MM_0,MarketMaker,16.204,282.0
MM_0,MarketMaker,16.206,283.0
MM_0,MarketMaker,16.256,284.0
MM_0,MarketMaker,16.281,285.0
MM_0,MarketMaker,16.415,285.5
MM_0,MarketMaker,16.551,286.5
MM_0,MarketMaker,16.867,287.5
MM_0,MarketMaker,17.143,296.5
MM_0,MarketMaker,17.149,297.5
MM_0,MarketMaker,17.319,298.0
MM_0,MarketMaker,17.383,318.0
MM_0,MarketMaker,17.518,319.0
MM_0,MarketMaker,17.529,320.0
MM_0,MarketMaker,17.58,320.5
MM_0,MarketMaker,17.592,321.0
MM_0,MarketMaker,17.655,321.5
MM_0,MarketMaker,17.727,322.0
MM_0,MarketMaker,17.739,322.5
MM_0,MarketMaker,17.761,323.5
MM_0,MarketMaker,17.825,324.0
MM_0,MarketMaker,17.827,324.5
MM_0,MarketMaker,17.834,330.0
MM_0,MarketMaker,17.885,331.0
MM_0,MarketMaker,17.896,331.5
MM_0,MarketMaker,18.043,332.5
MM_0,MarketMaker,18.093,333.5
MM_0,MarketMaker,18.104,334.5
MM_0,MarketMaker,18.116,335.5
MM_0,MarketMaker,18.153,694.5
MM_0,MarketMaker,18.164,695.5
MM_0,MarketMaker,18.186,696.0
MM_0,MarketMaker,18.239,696.5
MM_0,MarketMaker,18.261,697.5
MM_0,MarketMaker,18.262,698.5
MM_0,MarketMaker,18.313,699.5
MM_0,MarketMaker,18.323,700.0
MM_0,MarketMaker,18.419,700.5
MM_0,MarketMaker,18.47,701.0
MM_0,MarketMaker,18.624,701.5
MM_0,MarketMaker,18.637,702.0
MM_0,MarketMaker,18.676,702.5
MM_0,MarketMaker,18.687,703.0
MM_0,MarketMaker,18.698,703.5
MM_0,MarketMaker,18.761,704.0
MM_0,MarketMaker,18.922,704.5
MM_0,MarketMaker,18.933,705.0
MM_0,MarketMaker,19.23,466.0
MM_0,MarketMaker,19.23,433.0
MM_0,MarketMaker,19.784,201.5
MM_0,MarketMaker,19.785,183.0
MM_0,MarketMaker,19.785,201.5
MM_0,MarketMaker,19.801,202.0
MM_0,MarketMaker,19.802,202.5
MM_0,MarketMaker,19.864,203.0
MM_0,MarketMaker,19.876,203.5
MM_0,MarketMaker,19.926,204.0
MM_0,MarketMaker,19.937,204.5
MM_0,MarketMaker,19.949,205.0
MM_0,MarketMaker,19.953,433.0
MM_0,MarketMaker,20.527,434.0
MM_0,MarketMaker,20.811,446.5
MM_0,MarketMaker,20.872,-297.5
MM_0,MarketMaker,20.883,-297.0
MM_0,MarketMaker,20.895,-296.5
MM_0,MarketMaker,20.906,-296.0
MM_0,MarketMaker,20.956,-295.5
MM_0,MarketMaker,20.968,-295.0
MM_0,MarketMaker,21.029,-294.5
MM_0,MarketMaker,21.04,-294.0
MM_0,MarketMaker,21.064,-293.5
MM_0,MarketMaker,21.102,-293.0
MM_0,MarketMaker,21.113,-292.5
MM_0,MarketMaker,21.125,-292.0
MM_0,MarketMaker,21.126,-283.0
MM_0,MarketMaker,21.176,-282.5
MM_0,MarketMaker,21.334,-281.5
MM_0,MarketMaker,21.345,-280.5
MM_0,MarketMaker,21.396,-279.5
MM_0,MarketMaker,21.491,-278.5
MM_0,MarketMaker,21.552,-278.0
MM_0,MarketMaker,21.626,-277.0
MM_0,MarketMaker,21.688,-276.5
MM_0,MarketMaker,21.839,-260.5
MM_0,MarketMaker,21.848,-259.5
MM_0,MarketMaker,21.86,-258.5
MM_0,MarketMaker,21.922,-257.5
MM_0,MarketMaker,22.007,-256.5
MM_0,MarketMaker,22.007,-255.5
MM_0,MarketMaker,22.372,-254.5
MM_0,MarketMaker,22.434,-253.5
MM_0,MarketMaker,22.436,-252.5
MM_0,MarketMaker,22.446,-251.5
MM_0,MarketMaker,22.822,498.5
MM_0,MarketMaker,22.822,1748.5
MM_0,MarketMaker,22.822,2998.5
MM_0,MarketMaker,22.822,3079.0
