agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,2.184,-500.0
MM_0,MarketMaker,4.402,-750.0
MM_0,MarketMaker,4.402,-500.0
MM_0,MarketMaker,5.577,-499.5
MM_0,MarketMaker,5.595,-499.0
MM_0,MarketMaker,5.638,-498.5
MM_0,MarketMaker,5.73,-498.0
MM_0,MarketMaker,5.793,-497.5
MM_0,MarketMaker,5.793,-497.0
MM_0,MarketMaker,5.808,-496.5
MM_0,MarketMaker,5.855,-496.0
MM_0,MarketMaker,5.866,-495.5
MM_0,MarketMaker,5.869,-495.0
MM_0,MarketMaker,5.927,-494.5
MM_0,MarketMaker,5.939,-494.0
MM_0,MarketMaker,5.941,-493.5
MM_0,MarketMaker,6.011,-493.0
MM_0,MarketMaker,6.084,-492.5
MM_0,MarketMaker,6.094,-492.0
MM_0,MarketMaker,6.156,-491.5
MM_0,MarketMaker,6.157,-491.0
MM_0,MarketMaker,6.224,-488.0
MM_0,MarketMaker,6.224,-487.0
MM_0,MarketMaker,6.229,-486.5
MM_0,MarketMaker,6.304,-486.0
MM_0,MarketMaker,6.304,-484.0
MM_0,MarketMaker,6.304,-483.5
MM_0,MarketMaker,6.377,-483.0
MM_0,MarketMaker,6.449,-482.5
MM_0,MarketMaker,6.461,-482.0
MM_0,MarketMaker,6.511,-481.5
MM_0,MarketMaker,6.523,-481.0
MM_0,MarketMaker,6.534,-480.5
MM_0,MarketMaker,6.584,-480.0
MM_0,MarketMaker,6.596,-648.5
MM_0,MarketMaker,6.597,-480.0
MM_0,MarketMaker,6.597,-561.5
MM_0,MarketMaker,6.598,-561.0
MM_0,MarketMaker,6.598,-560.5
MM_0,MarketMaker,6.658,-560.0
MM_0,MarketMaker,6.669,-559.5
MM_0,MarketMaker,6.73,-559.0
MM_0,MarketMaker,6.742,-558.5
MM_0,MarketMaker,6.804,-558.0
MM_0,MarketMaker,6.816,-557.5
MM_0,MarketMaker,6.827,-557.0
MM_0,MarketMaker,6.878,-556.5
MM_0,MarketMaker,6.889,-556.0
MM_0,MarketMaker,6.889,-555.5
MM_0,MarketMaker,6.9,-483.5
MM_0,MarketMaker,7.026,-483.0
MM_0,MarketMaker,7.319,-482.0
MM_0,MarketMaker,7.33,-481.0
MM_0,MarketMaker,7.33,-480.0
MM_0,MarketMaker,7.393,-479.0
MM_0,MarketMaker,7.476,-478.0
MM_0,MarketMaker,7.926,-472.0
MM_0,MarketMaker,7.972,-469.0
MM_0,MarketMaker,8.499,-468.5
MM_0,MarketMaker,8.499,-468.0
MM_0,MarketMaker,8.509,-467.5
MM_0,MarketMaker,8.571,-466.5
MM_0,MarketMaker,8.571,-465.5
MM_0,MarketMaker,8.632,-464.5
MM_0,MarketMaker,8.643,-463.5
MM_0,MarketMaker,8.705,-463.0
MM_0,MarketMaker,8.716,-462.5
MM_0,MarketMaker,8.727,-462.0
MM_0,MarketMaker,8.79,-462.5
MM_0,MarketMaker,8.791,-463.0
MM_0,MarketMaker,8.791,-464.5
MM_0,MarketMaker,8.791,-1189.5
MM_0,MarketMaker,8.791,-1362.0
MM_0,MarketMaker,8.791,-1189.5
MM_0,MarketMaker,8.791,-1362.0
MM_0,MarketMaker,8.791,-1534.5
MM_0,MarketMaker,9.067,-1533.0
MM_0,MarketMaker,9.073,-1083.0
MM_0,MarketMaker,9.078,-1081.5
MM_0,MarketMaker,9.078,-1080.0
MM_0,MarketMaker,9.139,-1078.5
MM_0,MarketMaker,9.151,-1077.0
MM_0,MarketMaker,9.151,-1075.5
MM_0,MarketMaker,9.213,-1074.0
MM_0,MarketMaker,9.225,-1072.5
MM_0,MarketMaker,9.225,-1071.0
MM_0,MarketMaker,9.226,-1054.5
MM_0,MarketMaker,9.234,-1041.0
MM_0,MarketMaker,9.342,-1042.0
MM_0,MarketMaker,9.661,-1038.5
MM_0,MarketMaker,9.87,-1030.5
MM_0,MarketMaker,9.896,-1186.0
MM_0,MarketMaker,10.159,-1175.5
MM_0,MarketMaker,10.175,-1174.5
MM_0,MarketMaker,10.175,-1173.5
MM_0,MarketMaker,10.238,-1173.0
MM_0,MarketMaker,10.249,-1172.5
MM_0,MarketMaker,10.312,-1171.5
MM_0,MarketMaker,10.312,-1158.5
MM_0,MarketMaker,10.334,-1158.0
MM_0,MarketMaker,10.385,-1157.5
MM_0,MarketMaker,10.396,-1157.0
MM_0,MarketMaker,10.408,-1156.5
MM_0,MarketMaker,10.458,-1156.0
MM_0,MarketMaker,10.469,-1155.5
MM_0,MarketMaker,10.533,-1155.0
MM_0,MarketMaker,10.544,-1154.5
MM_0,MarketMaker,10.555,-1154.0
MM_0,MarketMaker,10.607,-1153.5
MM_0,MarketMaker,10.619,-1153.0
MM_0,MarketMaker,10.619,-1152.5
MM_0,MarketMaker,10.692,-1152.0
MM_0,MarketMaker,10.692,-1151.5
MM_0,MarketMaker,10.766,-1151.0
MM_0,MarketMaker,10.85,-1150.5
MM_0,MarketMaker,10.912,-1150.0
MM_0,MarketMaker,10.913,-1149.5
MM_0,MarketMaker,10.923,-1149.0
MM_0,MarketMaker,10.973,-1148.0
MM_0,MarketMaker,10.985,-1147.0
MM_0,MarketMaker,11.048,-1146.0
MM_0,MarketMaker,11.214,-1145.5
MM_0,MarketMaker,11.338,-1145.0
MM_0,MarketMaker,11.424,-1144.0
MM_0,MarketMaker,11.435,-1143.0
MM_0,MarketMaker,11.498,-1142.0
MM_0,MarketMaker,11.707,-1141.0
MM_0,MarketMaker,11.938,-1140.0
MM_0,MarketMaker,11.949,-1139.0
MM_0,MarketMaker,12.015,-1130.0
MM_0,MarketMaker,12.073,-1129.5
MM_0,MarketMaker,12.147,-1128.5
MM_0,MarketMaker,12.158,-1127.5
MM_0,MarketMaker,12.159,-1126.5
