agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,1.705,-500.0
MM_0,MarketMaker,1.705,0.0
MM_0,MarketMaker,2.824,-168.0
MM_0,MarketMaker,2.824,0.0
MM_0,MarketMaker,2.824,-82.0
MM_0,MarketMaker,3.123,246.0
MM_0,MarketMaker,5.463,247.5
MM_0,MarketMaker,5.839,260.5
MM_0,MarketMaker,5.869,261.5
MM_0,MarketMaker,5.871,262.5
MM_0,MarketMaker,5.874,263.5
MM_0,MarketMaker,5.92,264.5
MM_0,MarketMaker,5.922,265.5
MM_0,MarketMaker,5.925,266.5
MM_0,MarketMaker,5.969,267.5
MM_0,MarketMaker,6.025,269.0
MM_0,MarketMaker,6.074,269.5
MM_0,MarketMaker,6.076,270.0
MM_0,MarketMaker,6.153,21.0
MM_0,MarketMaker,6.154,19.5
MM_0,MarketMaker,6.154,18.0
MM_0,MarketMaker,6.226,20.0
MM_0,MarketMaker,6.275,22.0
MM_0,MarketMaker,6.325,24.0
MM_0,MarketMaker,6.327,26.0
MM_0,MarketMaker,6.328,28.0
MM_0,MarketMaker,6.428,31.0
MM_0,MarketMaker,6.479,32.0
MM_0,MarketMaker,7.061,36.0
MM_0,MarketMaker,7.289,37.0
MM_0,MarketMaker,7.339,37.5
MM_0,MarketMaker,7.357,42.0
MM_0,MarketMaker,7.388,42.5
MM_0,MarketMaker,7.439,43.0
MM_0,MarketMaker,7.44,43.5
MM_0,MarketMaker,7.491,44.0
MM_0,MarketMaker,7.502,47.0
MM_0,MarketMaker,7.541,47.5
MM_0,MarketMaker,7.589,48.0
MM_0,MarketMaker,7.591,48.5
MM_0,MarketMaker,7.64,49.0
MM_0,MarketMaker,7.643,49.5
MM_0,MarketMaker,7.693,50.0
MM_0,MarketMaker,7.74,50.5
MM_0,MarketMaker,7.743,51.0
MM_0,MarketMaker,7.744,51.5
MM_0,MarketMaker,7.814,50.5
MM_0,MarketMaker,7.819,48.5
MM_0,MarketMaker,7.819,46.5
MM_0,MarketMaker,7.819,44.5
MM_0,MarketMaker,7.819,42.5
MM_0,MarketMaker,7.819,40.5
MM_0,MarketMaker,7.819,38.5
MM_0,MarketMaker,7.819,36.5
MM_0,MarketMaker,7.819,34.5
MM_0,MarketMaker,7.819,32.5
MM_0,MarketMaker,7.819,30.5
MM_0,MarketMaker,7.819,28.5
MM_0,MarketMaker,7.82,26.5
MM_0,MarketMaker,7.82,24.5
MM_0,MarketMaker,7.82,22.5
MM_0,MarketMaker,7.82,20.5
MM_0,MarketMaker,7.82,18.5
MM_0,MarketMaker,7.82,16.5
MM_0,MarketMaker,7.82,14.5
MM_0,MarketMaker,7.82,12.5
MM_0,MarketMaker,7.82,10.5
MM_0,MarketMaker,7.82,8.5
MM_0,MarketMaker,7.82,6.5
MM_0,MarketMaker,7.82,4.5
MM_0,MarketMaker,7.82,2.5
MM_0,MarketMaker,7.82,0.5
MM_0,MarketMaker,7.82,-1.5
MM_0,MarketMaker,7.82,-3.5
MM_0,MarketMaker,7.82,-6.5
MM_0,MarketMaker,7.82,-9.5
MM_0,MarketMaker,7.82,-12.5
MM_0,MarketMaker,7.82,-15.5
MM_0,MarketMaker,7.82,-18.5
MM_0,MarketMaker,7.82,-21.5
MM_0,MarketMaker,7.82,-24.5
MM_0,MarketMaker,7.82,-27.5
MM_0,MarketMaker,7.82,-30.5
MM_0,MarketMaker,7.82,-867.5
MM_0,MarketMaker,7.82,-1143.5
MM_0,MarketMaker,7.82,-867.5
MM_0,MarketMaker,7.82,-1143.5
MM_0,MarketMaker,8.094,-1141.5
MM_0,MarketMaker,8.096,-1139.5
MM_0,MarketMaker,8.098,-1137.5
MM_0,MarketMaker,8.109,-497.5
MM_0,MarketMaker,8.144,-495.5
MM_0,MarketMaker,8.146,-493.5
MM_0,MarketMaker,8.148,-491.5
MM_0,MarketMaker,8.194,-489.5
MM_0,MarketMaker,8.196,-487.5
MM_0,MarketMaker,8.198,-485.5
MM_0,MarketMaker,8.248,-483.5
MM_0,MarketMaker,8.253,-481.5
MM_0,MarketMaker,8.253,-479.5
MM_0,MarketMaker,8.297,-477.5
MM_0,MarketMaker,8.302,-475.5
MM_0,MarketMaker,8.302,-473.5
MM_0,MarketMaker,8.346,-931.5
MM_0,MarketMaker,8.347,-933.5
MM_0,MarketMaker,8.347,-936.5
MM_0,MarketMaker,8.347,-939.5
MM_0,MarketMaker,8.347,-942.5
MM_0,MarketMaker,8.347,-945.5
MM_0,MarketMaker,8.347,-948.5
MM_0,MarketMaker,8.347,-951.5
MM_0,MarketMaker,8.347,-954.5
MM_0,MarketMaker,8.347,-957.5
MM_0,MarketMaker,8.347,-960.5
MM_0,MarketMaker,8.347,-964.5
MM_0,MarketMaker,8.347,-968.5
