agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,2.489,500.0
MM_0,MarketMaker,4.706,750.0
MM_0,MarketMaker,5.443,751.5
MM_0,MarketMaker,5.455,232.5
MM_0,MarketMaker,5.455,1.5
MM_0,MarketMaker,5.455,232.5
MM_0,MarketMaker,6.01,233.0
MM_0,MarketMaker,6.021,233.5
MM_0,MarketMaker,6.067,235.5
MM_0,MarketMaker,6.082,236.0
MM_0,MarketMaker,6.155,236.5
MM_0,MarketMaker,6.155,237.0
MM_0,MarketMaker,6.254,239.0
MM_0,MarketMaker,6.361,239.5
MM_0,MarketMaker,6.384,240.0
MM_0,MarketMaker,6.434,240.5
MM_0,MarketMaker,6.455,241.0
MM_0,MarketMaker,6.519,241.5
MM_0,MarketMaker,6.614,242.0
MM_0,MarketMaker,6.665,242.5
MM_0,MarketMaker,6.676,243.0
MM_0,MarketMaker,6.677,243.5
MM_0,MarketMaker,6.728,244.0
MM_0,MarketMaker,6.739,244.5
MM_0,MarketMaker,6.8,245.0
MM_0,MarketMaker,6.803,251.0
MM_0,MarketMaker,6.812,251.5
MM_0,MarketMaker,6.834,252.0
MM_0,MarketMaker,6.873,252.5
MM_0,MarketMaker,6.897,253.0
MM_0,MarketMaker,6.946,253.5
MM_0,MarketMaker,6.968,254.0
MM_0,MarketMaker,6.969,254.5
MM_0,MarketMaker,7.019,255.0
MM_0,MarketMaker,7.031,255.5
MM_0,MarketMaker,7.043,256.0
MM_0,MarketMaker,7.066,258.5
MM_0,MarketMaker,7.093,259.5
MM_0,MarketMaker,7.164,260.0
MM_0,MarketMaker,7.323,260.5
MM_0,MarketMaker,7.334,261.0
MM_0,MarketMaker,7.346,261.5
MM_0,MarketMaker,7.396,262.0
MM_0,MarketMaker,7.474,497.0
MM_0,MarketMaker,8.069,497.5
MM_0,MarketMaker,8.132,498.0
MM_0,MarketMaker,8.132,498.5
MM_0,MarketMaker,8.143,499.0
MM_0,MarketMaker,8.194,499.5
MM_0,MarketMaker,8.204,500.0
MM_0,MarketMaker,8.266,500.5
MM_0,MarketMaker,8.277,501.0
MM_0,MarketMaker,8.289,501.5
MM_0,MarketMaker,8.36,502.0
MM_0,MarketMaker,8.422,502.5
MM_0,MarketMaker,8.433,503.0
MM_0,MarketMaker,8.654,503.5
MM_0,MarketMaker,8.655,504.0
MM_0,MarketMaker,8.706,504.5
MM_0,MarketMaker,8.716,505.0
MM_0,MarketMaker,8.749,513.5
MM_0,MarketMaker,8.776,514.0
MM_0,MarketMaker,8.786,514.5
MM_0,MarketMaker,9.092,515.0
MM_0,MarketMaker,9.165,515.5
MM_0,MarketMaker,9.165,516.0
MM_0,MarketMaker,9.228,516.5
MM_0,MarketMaker,9.872,516.0
MM_0,MarketMaker,9.903,516.5
MM_0,MarketMaker,9.961,517.0
MM_0,MarketMaker,9.961,517.5
MM_0,MarketMaker,9.984,518.0
MM_0,MarketMaker,10.022,518.5
MM_0,MarketMaker,10.028,523.0
MM_0,MarketMaker,10.033,523.5
MM_0,MarketMaker,10.192,524.0
MM_0,MarketMaker,10.264,524.5
MM_0,MarketMaker,10.327,525.0
MM_0,MarketMaker,10.328,534.0
MM_0,MarketMaker,10.338,535.0
MM_0,MarketMaker,10.41,536.0
MM_0,MarketMaker,10.41,537.0
MM_0,MarketMaker,10.473,538.0
MM_0,MarketMaker,10.535,539.0
MM_0,MarketMaker,10.545,540.0
MM_0,MarketMaker,10.556,541.0
MM_0,MarketMaker,10.608,542.0
MM_0,MarketMaker,10.631,542.5
MM_0,MarketMaker,10.788,543.5
MM_0,MarketMaker,10.913,544.0
MM_0,MarketMaker,10.925,544.5
MM_0,MarketMaker,10.936,545.5
MM_0,MarketMaker,10.975,546.0
MM_0,MarketMaker,10.997,546.5
MM_0,MarketMaker,11.049,547.0
MM_0,MarketMaker,11.071,547.5
MM_0,MarketMaker,11.072,548.0
MM_0,MarketMaker,11.122,548.5
MM_0,MarketMaker,11.134,549.0
MM_0,MarketMaker,11.146,549.5
MM_0,MarketMaker,11.22,550.0
MM_0,MarketMaker,11.292,550.5
MM_0,MarketMaker,11.293,551.0
MM_0,MarketMaker,11.317,699.5
MM_0,MarketMaker,11.317,750.5
MM_0,MarketMaker,11.353,751.0
MM_0,MarketMaker,11.353,751.5
MM_0,MarketMaker,11.371,752.5
MM_0,MarketMaker,11.371,753.0
MM_0,MarketMaker,11.415,753.5
MM_0,MarketMaker,11.426,754.0
MM_0,MarketMaker,11.448,754.5
MM_0,MarketMaker,11.487,755.0
MM_0,MarketMaker,11.512,755.5
MM_0,MarketMaker,11.52,760.5
MM_0,MarketMaker,11.52,762.5
MM_0,MarketMaker,11.562,763.0
MM_0,MarketMaker,11.583,763.5
MM_0,MarketMaker,11.584,764.0
MM_0,MarketMaker,11.636,764.5
MM_0,MarketMaker,11.646,765.0
MM_0,MarketMaker,11.658,765.5
MM_0,MarketMaker,11.715,766.0
MM_0,MarketMaker,11.719,766.5
MM_0,MarketMaker,11.765,776.0
MM_0,MarketMaker,11.793,776.5
MM_0,MarketMaker,11.793,777.0
MM_0,MarketMaker,11.815,777.5
MM_0,MarketMaker,11.867,778.0
MM_0,MarketMaker,11.877,778.5
MM_0,MarketMaker,11.94,779.0
MM_0,MarketMaker,11.941,779.5
MM_0,MarketMaker,11.953,780.0
MM_0,MarketMaker,12.014,780.5
MM_0,MarketMaker,12.025,781.0
MM_0,MarketMaker,12.086,781.5
MM_0,MarketMaker,12.391,782.0
MM_0,MarketMaker,12.391,782.5
MM_0,MarketMaker,12.442,783.0
MM_0,MarketMaker,12.465,783.5
MM_0,MarketMaker,12.516,784.0
MM_0,MarketMaker,12.538,784.5
MM_0,MarketMaker,12.601,785.5
MM_0,MarketMaker,12.611,786.5
MM_0,MarketMaker,12.747,787.5
MM_0,MarketMaker,12.809,788.5
MM_0,MarketMaker,12.84,789.5
MM_0,MarketMaker,12.882,790.5
MM_0,MarketMaker,12.904,791.5
MM_0,MarketMaker,12.954,792.5
MM_0,MarketMaker,12.976,793.5
MM_0,MarketMaker,13.393,795.5
MM_0,MarketMaker,14.18,800.5
MM_0,MarketMaker,14.18,801.5
MM_0,MarketMaker,14.293,564.5
MM_0,MarketMaker,14.294,564.0
MM_0,MarketMaker,14.294,563.5
MM_0,MarketMaker,14.294,563.0
MM_0,MarketMaker,14.347,570.5
MM_0,MarketMaker,14.359,571.5
MM_0,MarketMaker,14.432,572.0
MM_0,MarketMaker,14.444,573.0
MM_0,MarketMaker,14.494,574.0
MM_0,MarketMaker,14.505,575.0
MM_0,MarketMaker,14.515,576.0
MM_0,MarketMaker,14.724,576.5
MM_0,MarketMaker,14.956,577.0
MM_0,MarketMaker,15.103,578.0
MM_0,MarketMaker,15.103,579.0
MM_0,MarketMaker,15.165,580.0
MM_0,MarketMaker,15.237,581.0
MM_0,MarketMaker,15.259,582.0
MM_0,MarketMaker,15.297,583.0
MM_0,MarketMaker,15.32,584.0
MM_0,MarketMaker,15.456,585.0
MM_0,MarketMaker,15.517,600.0
MM_0,MarketMaker,15.517,601.0
MM_0,MarketMaker,15.528,602.0
MM_0,MarketMaker,15.604,611.5
MM_0,MarketMaker,15.675,612.0
MM_0,MarketMaker,15.676,612.5
MM_0,MarketMaker,15.771,613.5
MM_0,MarketMaker,15.834,614.0
MM_0,MarketMaker,15.891,642.5
MM_0,MarketMaker,15.895,643.5
MM_0,MarketMaker,15.956,644.5
MM_0,MarketMaker,15.979,645.0
MM_0,MarketMaker,16.029,645.5
MM_0,MarketMaker,16.051,646.5
MM_0,MarketMaker,16.216,660.0
MM_0,MarketMaker,16.216,664.5
MM_0,MarketMaker,16.344,666.0
MM_0,MarketMaker,16.478,666.5
MM_0,MarketMaker,16.506,666.0
MM_0,MarketMaker,16.541,667.0
MM_0,MarketMaker,16.552,668.0
MM_0,MarketMaker,16.564,669.0
MM_0,MarketMaker,16.614,670.0
MM_0,MarketMaker,16.625,671.0
MM_0,MarketMaker,16.637,672.0
MM_0,MarketMaker,16.688,673.0
MM_0,MarketMaker,16.699,674.0
MM_0,MarketMaker,16.711,675.0
MM_0,MarketMaker,16.761,676.0
MM_0,MarketMaker,16.772,677.0
MM_0,MarketMaker,16.783,678.0
MM_0,MarketMaker,16.833,679.0
MM_0,MarketMaker,16.845,680.0
MM_0,MarketMaker,16.845,1165.0
MM_0,MarketMaker,16.845,1185.0
MM_0,MarketMaker,16.856,1186.5
MM_0,MarketMaker,16.906,1188.0
MM_0,MarketMaker,16.917,1189.5
MM_0,MarketMaker,16.927,1191.0
MM_0,MarketMaker,16.98,1192.5
MM_0,MarketMaker,16.98,1206.0
MM_0,MarketMaker,16.99,1207.5
MM_0,MarketMaker,17.002,1209.0
MM_0,MarketMaker,17.023,1564.5
MM_0,MarketMaker,17.051,1113.0
MM_0,MarketMaker,17.052,1564.5
MM_0,MarketMaker,17.052,1416.0
MM_0,MarketMaker,17.052,1266.0
MM_0,MarketMaker,17.053,1267.5
MM_0,MarketMaker,17.063,1269.0
MM_0,MarketMaker,17.074,1270.5
MM_0,MarketMaker,17.125,1272.0
MM_0,MarketMaker,17.137,1273.5
MM_0,MarketMaker,17.149,1275.0
MM_0,MarketMaker,17.2,1276.5
MM_0,MarketMaker,17.211,1278.0
MM_0,MarketMaker,17.223,1279.5
MM_0,MarketMaker,17.274,1281.0
MM_0,MarketMaker,17.285,1282.5
MM_0,MarketMaker,17.296,1284.0
MM_0,MarketMaker,17.346,1285.5
MM_0,MarketMaker,17.358,1287.0
MM_0,MarketMaker,17.369,1288.5
MM_0,MarketMaker,17.398,1525.5
MM_0,MarketMaker,17.584,1456.5
MM_0,MarketMaker,17.584,321.5
MM_0,MarketMaker,17.584,1456.5
MM_0,MarketMaker,17.59,1458.5
MM_0,MarketMaker,17.6,1494.5
MM_0,MarketMaker,17.64,1496.5
MM_0,MarketMaker,17.651,1498.5
MM_0,MarketMaker,17.663,1500.5
MM_0,MarketMaker,17.663,1534.5
MM_0,MarketMaker,17.714,1536.5
MM_0,MarketMaker,17.725,1538.5
MM_0,MarketMaker,17.737,1540.5
MM_0,MarketMaker,17.787,1542.5
MM_0,MarketMaker,17.799,1544.5
MM_0,MarketMaker,17.81,1546.5
MM_0,MarketMaker,17.861,1548.5
MM_0,MarketMaker,17.873,1550.5
MM_0,MarketMaker,17.883,1552.5
MM_0,MarketMaker,17.932,1584.5
MM_0,MarketMaker,18.104,1584.0
MM_0,MarketMaker,18.154,1585.0
MM_0,MarketMaker,18.165,1586.0
MM_0,MarketMaker,18.47,1586.5
MM_0,MarketMaker,19.029,1729.0
MM_0,MarketMaker,19.037,1730.5
MM_0,MarketMaker,19.047,1732.0
MM_0,MarketMaker,19.122,1733.5
MM_0,MarketMaker,19.184,1734.0
MM_0,MarketMaker,19.207,1738.5
MM_0,MarketMaker,19.496,1742.5
MM_0,MarketMaker,19.642,1746.5
MM_0,MarketMaker,19.927,1751.0
MM_0,MarketMaker,20.125,1995.5
MM_0,MarketMaker,20.125,2012.0
MM_0,MarketMaker,20.22,2013.0
MM_0,MarketMaker,20.22,2014.0
MM_0,MarketMaker,20.232,2015.0
MM_0,MarketMaker,20.283,2016.0
MM_0,MarketMaker,20.355,2017.0
MM_0,MarketMaker,20.366,2018.0
MM_0,MarketMaker,20.378,2019.0
MM_0,MarketMaker,20.429,2020.0
MM_0,MarketMaker,20.504,2021.0
MM_0,MarketMaker,20.599,2033.0
MM_0,MarketMaker,20.6,2034.0
MM_0,MarketMaker,20.6,2035.0
MM_0,MarketMaker,20.65,2036.0
MM_0,MarketMaker,20.68,2733.5
MM_0,MarketMaker,21.543,2734.5
MM_0,MarketMaker,21.594,2746.5
MM_0,MarketMaker,21.594,2749.5
MM_0,MarketMaker,21.594,2752.5
MM_0,MarketMaker,21.687,2753.5
MM_0,MarketMaker,21.761,2754.0
MM_0,MarketMaker,21.773,2755.0
MM_0,MarketMaker,21.979,2756.0
MM_0,MarketMaker,22.347,2756.5
