timestamp,S,L_eff,H_c,H_p,avg_age,best_bid,best_ask,spread,bid_levels,ask_levels,fifo_share,k
1778704424862,1000,1000,0,0,0,996,1000,4,1,1,1,0
1778704424975,1000,1000,0,0,0,996,1000,4,1,1,1,0
1778704425088,1081.5562106731797,1500,0,0.38689046874999994,0,997,1000,3,2,2,1,0
1778704425209,1217.8827916362288,1500,0,0.23164561507987647,0,997,1000,3,2,2,1,0
1778704425325,1057.0285841463854,2000,0,0.8920964200936167,0,999,1000,1,3,3,1,0
1778704425437,1303.6695664269168,2000,0,0.5341310800723669,0,999,1000,1,3,3,1,0
1778704425554,669.1849664472182,2000,0,1.9887102972713742,261,997,1000,3,3,3,1,0
1778704425671,912.9442323945923,2000,0,1.1907143164201084,261,997,1000,3,3,3,1,0
1778704425820,1001.4039804447517,2500,0,1.4964949698818648,261,998,1000,2,4,4,1,0
1778704425934,1318.5606594133185,2500,0,0.8960068178526972,261,998,1000,2,4,4,1,0
1778704426050,2250.95473233461,2603.5533905932734,0,0.15664404672099314,261,998,1000,2,4,4,1,0
1778704426169,2485.638507373247,2707.1067811865473,0,0.08909914822945895,261,998,1000,2,4,4,1,0
1778704426292,2570.004857228127,2707.1067811865473,0,0.053346951299652855,261,998,1000,2,4,4,1,0
1778704426412,3180.337750846187,3207.1067811865473,0,0.008417040087405002,261,998,999,1,5,5,1,0
1778704426521,3191.0253129330313,3207.1067811865473,0,0.005039592819379606,261,998,999,1,5,5,1,0
1778704426633,1644.5484016131381,3286.566092485493,0.6983372960937497,0.3001238554671888,261,998,999,1,5,5,1,0
1778704426742,2056.9120406050647,3286.566092485493,0.41812033521917696,0.17969523861484613,261,998,999,1,5,5,1,0
1778704426853,902.5129710776168,2786.566092485493,2.057719089742455,0.029844393315614184,261,998,999,1,4,4,1,0
1778704426966,1305.5416823374426,2933.0127018922194,1.23203242960478,0.0145543638869078,261,998,999,1,4,4,1,0
1778704427080,1679.4837307839218,2933.0127018922194,0.7376633259439891,0.008714235286208767,261,998,999,1,4,4,1,0
1778704427192,1151.865681684036,3116.025403784439,1.703823652491547,0.0013749252009378782,261,998,999,1,4,5,1,0
1778704427304,1541.8499688004129,3116.025403784439,1.020142158694744,0.000823218506491258,261,998,999,1,4,5,1,0
1778704427421,777.0968552302209,2902.5914962699317,2.327803043684923,0.4073703478095218,261,997,999,2,3,4,1,0
1778704427531,1184.4421283741483,3109.6982774564794,1.3937416695256928,0.2317122914247495,261,997,999,2,3,4,1,0
1778704427643,1575.9516598286732,3109.6982774564794,0.8344846213008011,0.13873470815156574,261,997,999,2,3,4,1,0
1778704427753,1254.5198740960093,3200.779654858588,1.1630571992882015,0.38834092596272646,261,998,999,1,4,4,1,0
1778704427864,1659.3985672975496,3200.779654858588,0.6963653076609787,0.23251405739192063,261,998,999,1,4,4,1,0
1778704427976,1024.1921854051739,3243.6728736720406,2.133945882900726,0.033109011575776046,261,998,999,1,5,4,1,0
1778704428092,1093.9013379931282,3097.226264265314,1.2137886151069042,0.6175693480778623,279,997,999,2,4,4,1,0
1778704428203,920.7058686288514,3017.7669529663685,1.6767400802914985,0.6009266054444541,279,997,999,2,4,4,1,0
1778704428320,1418.538678020808,3280.238966157534,1.003926223572045,0.308480915536937,279,997,999,2,4,4,1,0
1778704428432,1836.859401125585,3280.238966157534,0.6010877143226703,0.18469891918203848,279,997,999,2,4,4,1,0
1778704428550,1091.655900968772,3200.779654858588,1.9094915589123482,0.022549253598361088,279,997,999,2,4,4,1,0
1778704428664,1484.051881987116,3200.779654858588,1.1432831314846996,0.013501071081592713,279,997,999,2,4,4,1,0
1778704428773,856.0427569021351,2914.213562373095,2.401532092828018,0.002752960548415855,279,997,999,2,4,4,1,0
1778704428888,1312.2098329123542,3200.779654858588,1.4378859747425854,0.0013425499779545788,279,997,999,2,4,4,1,0
1778704429017,1719.2600872887824,3200.779654858588,0.8609154474911681,0.0008038342645750771,279,997,999,2,4,4,1,0
1778704429127,1117.3844491055072,3256.1448868632056,1.9139742018879629,0.00010330247486146686,279,997,999,2,4,4,1,0
1778704429246,1517.2884564188496,3256.1448868632056,1.1459670554196173,6.185100761430422e-05,279,997,999,2,4,4,1,0
1778704429358,936.3084583223051,2957.1067811865473,2.1582510408237088,1.0272424647626901e-05,279,997,999,2,3,3,1,0
1778704429469,1290.056313837851,2957.1067811865473,1.2922246222908325,6.150480092077011e-06,279,997,999,2,3,3,1,0
1778704429581,1667.1907773327055,2957.1067811865473,0.7737026151588831,3.682519625176771e-06,279,997,999,2,3,3,1,0
1778704429705,971.0315138544421,2677.0509831248423,1.7569141766946301,4.495861116935431e-07,279,997,999,2,2,3,1,0
1778704429823,1304.650447622776,2677.0509831248423,1.0519294166586588,2.6918381243947573e-07,279,997,999,2,2,3,1,0
1778704429941,483.1833993174737,2486.06797749979,1.8604949197912088,2.2846900783099553,735.6666666666666,997,1001,4,1,2,1,0
1778704430051,714.0025725691195,2486.06797749979,1.1139470337443411,1.367928344595594,735.6666666666666,997,1001,4,1,2,1,0
1778704430162,1367.7103716807064,2486.17355030879,0.6019325168056262,0.21583066009685176,1074.8,997,1001,4,1,4,1,0
1778704430271,987.7622469385142,2499,1.4525887851747896,0.07737225326886438,1258.6666666666667,997,1001,4,1,6,1,0
1778704430383,643.2888567879099,2424.3373554684167,2.743628059589097,0.025032519382679346,1347.6153846153845,997,1001,4,1,5,1,0
1778704430495,464.56394480854715,2297.667770592428,3.9377601469063657,0.00809885973550133,1376.2631578947369,997,1001,4,1,6,1,0
1778704430605,395.3718389840201,2244.88899474731,4.675160126195648,0.0027581608426016646,1399.1538461538462,997,1001,4,1,6,1,0
1778704430718,249.053002345285,1989.138078005234,6.985913901650445,0.0008923575550145893,1416.9655172413793,997,1001,4,1,6,1,0
1778704430828,290.81163867556387,1896.1216792810583,5.519782557412958,0.0003198976212276363,1424.4864864864865,997,1001,4,1,9,1,0
1778704430940,199.2535897590328,1687.1006845321374,7.4669941400761415,0.00010894485413098319,1433.375,997,1001,4,1,7,1,0
1778704431055,217.8776877966016,1375.13024868723,5.311440968557769,3.7102436698569076e-05,1428.3265306122448,997,1001,4,1,8,1,0
1778704431170,221.99255398963254,1745.88024868723,6.8645772235952975,1.2003882872250693e-05,1431.2641509433963,997,1001,4,1,6,1,0
1778704431284,77.62645086556597,1126.2709947489204,5.771042502791887,7.737813463061871,1398,1010,1011,1,2,4,1,0
1778704431404,124.81796807685373,1400.008975983234,7.712963539105196,2.5034422200496995,1375.015873015873,1010,1011,1,1,5,1,0
1778704431522,136.26618136679818,1453.675721313375,8.898462500572963,0.7694501592850546,1363.5230769230768,1010,1011,1,2,5,1,0
1778704431642,166.4057783230488,1572.197699672168,8.17213834784698,0.2758370500987023,1323.1267605633802,1010,1011,1,4,5,1,0
1778704431760,132.08210740966732,1494.7583778982505,10.232107297089637,0.08478041172084758,1322.388888888889,1010,1011,1,2,5,1,0
1778704431871,202.30052582452944,1927.2343776532662,8.496198460578363,0.03039258409792401,1292.3552631578948,1010,1011,1,4,5,1,0
1778704431989,182.19992835333787,2034.9280524455091,10.159313145600777,0.009341369450407287,1279.0759493670887,1010,1011,1,4,4,1,0
1778704432108,229.44350341322536,2402.6714004822247,9.46871203566066,0.0030222463731993774,1268.5714285714287,1010,1011,1,5,5,1,0
1778704432230,320.91048072825185,2450.9057710597713,6.636321084968637,0.0010292611399001367,1244.3111111111111,1010,1011,1,7,4,1,0
1778704432340,242.30462588320188,2249.7504858410684,8.28446904419655,0.0003330005052955719,1244.031914893617,1010,1011,1,5,4,1,0
1778704432454,373.74304690551804,2456.859262883467,5.573539407027639,0.00011937599330339363,1237.53,1010,1011,1,6,4,1,0
1778704432566,242.0052211179278,2263.1254963362885,7.9002678685932795,0.4512886221382981,1245.375,1010,1012,2,5,3,1,0
1778704432687,274.3119608538555,1973.5995087803894,6.032945790001654,0.1617806179797277,1218.6396396396397,1010,1012,2,7,4,1,0
1778704432806,229.60685219773444,2021.9067654842386,6.236207221043244,1.5697441089414492,1206.4406779661017,1009,1011,2,5,6,1,0
1778704432920,346.5929711422489,2911.754934200682,6.506637627565799,0.8944413804837815,1210.6446280991736,1009,1010,1,5,5,1,0
1778704433036,377.3106887296127,2682.1019853289245,5.819088935102938,0.28938179059909597,1201.755905511811,1009,1010,1,5,7,1,0
1778704433152,254.15086325276127,2733.7904204670513,9.280731601693782,0.47583394948519675,1193.1145038167938,1009,1010,1,5,4,1,0
1778704433267,343.87901749811084,2911.388908796898,7.142088340783258,0.3242290576398438,1153.1838235294117,1009,1010,1,7,5,1,0
1778704433380,334.6356089158665,2899.5064555919084,7.5542480348753624,0.11041997515968813,1118.6666666666667,1009,1010,1,8,4,1,0
1778704433496,310.3584329926274,2649.8140674364836,6.702568537952514,0.8353469357328114,1114.639455782313,1008,1010,2,7,4,1,0
1778704433612,365.19220734236126,2645.7785335305502,5.97463042779428,0.27026275540056155,1130.3921568627452,1008,1010,2,8,4,1,0
1778704433729,274.76014181430037,2253.2694257181306,7.108818764102765,0.09204112350432221,1144.4493670886077,1008,1010,2,8,4,1,0
1778704433840,337.85567282809063,2247.4765324993173,5.620833682492135,0.0313456747060172,1154.8841463414635,1008,1010,2,8,4,1,0
1778704433954,196.12981131937414,2097.1391770309006,8.732466558901736,0.9601413772572305,1161.357142857143,1006,1010,4,7,3,1,0
1778704434069,237.6791777454084,1882.0172003226812,5.840640676834807,1.0776684412597373,1166.5485714285714,1005,1010,5,6,3,1,0
