agent,role,time_sec,cumulative_pnl
MM_0,MarketMaker,3.833,-153.0
MM_0,MarketMaker,3.833,-201.5
MM_0,MarketMaker,3.833,-153.0
MM_0,MarketMaker,3.833,-201.5
MM_0,MarketMaker,4.138,-40.0
MM_0,MarketMaker,4.388,-153.0
MM_0,MarketMaker,4.388,-564.0
MM_0,MarketMaker,4.671,-172.0
MM_0,MarketMaker,4.671,-16.0
MM_0,MarketMaker,4.941,-649.0
MM_0,MarketMaker,4.942,-16.0
MM_0,MarketMaker,4.942,-211.0
MM_0,MarketMaker,5.476,-421.5
MM_0,MarketMaker,6.1,-421.0
MM_0,MarketMaker,6.223,-420.5
MM_0,MarketMaker,6.236,-419.5
MM_0,MarketMaker,6.256,-301.0
MM_0,MarketMaker,6.295,-300.5
MM_0,MarketMaker,6.306,-300.0
MM_0,MarketMaker,6.318,-299.5
MM_0,MarketMaker,6.329,-290.0
MM_0,MarketMaker,6.367,-289.5
MM_0,MarketMaker,6.379,-289.0
MM_0,MarketMaker,6.44,-288.5
MM_0,MarketMaker,6.45,-288.0
MM_0,MarketMaker,6.521,-287.5
MM_0,MarketMaker,6.521,-287.0
MM_0,MarketMaker,6.582,-449.0
MM_0,MarketMaker,6.583,-537.0
MM_0,MarketMaker,6.949,-536.5
MM_0,MarketMaker,7.176,-536.0
MM_0,MarketMaker,7.239,-535.5
MM_0,MarketMaker,7.25,-535.0
MM_0,MarketMaker,7.328,-533.5
MM_0,MarketMaker,7.385,-533.0
MM_0,MarketMaker,7.452,-524.5
MM_0,MarketMaker,7.469,-523.5
MM_0,MarketMaker,7.532,-523.0
MM_0,MarketMaker,7.615,-522.5
MM_0,MarketMaker,8.274,-521.0
MM_0,MarketMaker,8.274,-519.5
MM_0,MarketMaker,8.274,-518.0
MM_0,MarketMaker,8.847,-510.0
MM_0,MarketMaker,8.917,-509.5
MM_0,MarketMaker,8.991,-509.0
MM_0,MarketMaker,9.018,-367.5
MM_0,MarketMaker,9.018,-333.0
MM_0,MarketMaker,9.018,-298.5
MM_0,MarketMaker,9.024,-297.0
MM_0,MarketMaker,9.065,-296.5
MM_0,MarketMaker,9.065,-296.0
MM_0,MarketMaker,9.076,-295.5
MM_0,MarketMaker,9.138,-295.0
MM_0,MarketMaker,9.138,-294.5
MM_0,MarketMaker,9.149,-294.0
MM_0,MarketMaker,9.21,-293.5
MM_0,MarketMaker,9.21,-293.0
MM_0,MarketMaker,9.222,-292.5
MM_0,MarketMaker,9.283,-292.0
MM_0,MarketMaker,9.295,-291.5
MM_0,MarketMaker,9.346,-438.5
MM_0,MarketMaker,9.347,-490.0
MM_0,MarketMaker,9.347,-438.5
MM_0,MarketMaker,9.347,-490.0
MM_0,MarketMaker,9.347,-438.5
MM_0,MarketMaker,9.514,-437.5
MM_0,MarketMaker,9.514,-436.5
MM_0,MarketMaker,9.575,-436.0
MM_0,MarketMaker,9.575,-435.5
MM_0,MarketMaker,9.587,-435.0
MM_0,MarketMaker,9.611,-287.0
MM_0,MarketMaker,9.611,-185.0
MM_0,MarketMaker,9.649,-184.5
MM_0,MarketMaker,9.649,-184.0
MM_0,MarketMaker,9.66,-183.5
MM_0,MarketMaker,9.721,-183.0
MM_0,MarketMaker,9.733,-182.5
MM_0,MarketMaker,9.794,-182.0
MM_0,MarketMaker,9.806,-181.5
MM_0,MarketMaker,9.806,-181.0
MM_0,MarketMaker,9.869,-180.5
MM_0,MarketMaker,9.869,-180.0
MM_0,MarketMaker,9.881,-179.5
MM_0,MarketMaker,9.9,-238.5
MM_0,MarketMaker,9.901,-179.5
MM_0,MarketMaker,9.901,-752.5
MM_0,MarketMaker,9.932,-742.5
MM_0,MarketMaker,10.172,-742.0
MM_0,MarketMaker,10.173,-741.5
MM_0,MarketMaker,10.235,-741.0
MM_0,MarketMaker,10.246,-740.5
MM_0,MarketMaker,10.32,-740.0
MM_0,MarketMaker,10.381,-739.5
MM_0,MarketMaker,10.393,-739.0
MM_0,MarketMaker,10.401,-731.5
MM_0,MarketMaker,10.483,-731.0
MM_0,MarketMaker,10.55,-730.5
MM_0,MarketMaker,10.568,-730.0
MM_0,MarketMaker,10.622,-729.5
MM_0,MarketMaker,10.629,-729.0
MM_0,MarketMaker,10.765,-728.5
MM_0,MarketMaker,10.773,-728.0
MM_0,MarketMaker,10.784,-727.5
MM_0,MarketMaker,10.836,-727.0
MM_0,MarketMaker,10.837,-725.5
MM_0,MarketMaker,10.949,-724.0
MM_0,MarketMaker,11.427,-723.0
MM_0,MarketMaker,11.489,-722.0
MM_0,MarketMaker,11.496,-721.0
MM_0,MarketMaker,11.561,-720.5
MM_0,MarketMaker,11.588,-719.0
MM_0,MarketMaker,11.644,-718.0
MM_0,MarketMaker,11.779,-717.5
MM_0,MarketMaker,11.852,-716.5
MM_0,MarketMaker,11.852,-715.5
MM_0,MarketMaker,11.903,-699.0
MM_0,MarketMaker,11.925,-698.0
MM_0,MarketMaker,11.998,-697.0
MM_0,MarketMaker,11.998,-696.0
MM_0,MarketMaker,12.06,-690.0
MM_0,MarketMaker,12.07,-689.0
MM_0,MarketMaker,12.088,-688.0
MM_0,MarketMaker,12.151,-687.5
MM_0,MarketMaker,12.213,-687.0
MM_0,MarketMaker,12.224,-686.5
MM_0,MarketMaker,12.286,-686.0
MM_0,MarketMaker,12.302,-685.5
MM_0,MarketMaker,12.357,-685.0
MM_0,MarketMaker,12.364,-684.5
MM_0,MarketMaker,12.428,-684.0
MM_0,MarketMaker,12.51,-683.5
MM_0,MarketMaker,12.791,-683.0
MM_0,MarketMaker,12.936,-682.5
MM_0,MarketMaker,13.01,-682.0
MM_0,MarketMaker,13.228,-681.5
MM_0,MarketMaker,13.3,-681.0
MM_0,MarketMaker,13.311,-680.5
MM_0,MarketMaker,13.374,-680.0
MM_0,MarketMaker,13.384,-674.5
MM_0,MarketMaker,13.384,-673.0
MM_0,MarketMaker,13.518,-672.0
MM_0,MarketMaker,13.649,-664.0
MM_0,MarketMaker,13.649,-663.0
MM_0,MarketMaker,13.686,-662.0
MM_0,MarketMaker,13.737,-661.0
MM_0,MarketMaker,13.748,-660.0
MM_0,MarketMaker,13.791,-643.5
MM_0,MarketMaker,13.791,-640.5
MM_0,MarketMaker,13.839,-633.5
MM_0,MarketMaker,13.839,-632.5
MM_0,MarketMaker,13.885,-631.5
MM_0,MarketMaker,13.958,-630.5
MM_0,MarketMaker,14.041,-630.0
MM_0,MarketMaker,14.101,-629.5
MM_0,MarketMaker,14.333,-929.5
MM_0,MarketMaker,14.334,-1029.5
MM_0,MarketMaker,14.334,-929.5
MM_0,MarketMaker,14.334,-1029.5
MM_0,MarketMaker,14.542,-1029.0
MM_0,MarketMaker,14.553,-1028.0
MM_0,MarketMaker,14.553,-1027.0
MM_0,MarketMaker,14.57,-711.0
MM_0,MarketMaker,14.614,-710.0
MM_0,MarketMaker,14.709,-709.0
MM_0,MarketMaker,14.761,-708.0
MM_0,MarketMaker,14.771,-707.0
MM_0,MarketMaker,14.832,-706.0
MM_0,MarketMaker,14.843,-705.0
MM_0,MarketMaker,14.843,-704.0
MM_0,MarketMaker,14.886,-1017.5
MM_0,MarketMaker,14.887,-1019.0
MM_0,MarketMaker,14.887,-1534.0
MM_0,MarketMaker,14.887,-1019.0
MM_0,MarketMaker,14.887,-1229.0
MM_0,MarketMaker,14.905,-1227.0
MM_0,MarketMaker,14.963,-1225.0
MM_0,MarketMaker,15.197,-1224.0
MM_0,MarketMaker,15.197,-1223.0
MM_0,MarketMaker,15.207,-1222.0
MM_0,MarketMaker,15.27,-1221.0
MM_0,MarketMaker,15.28,-1220.0
MM_0,MarketMaker,15.343,-1219.0
MM_0,MarketMaker,15.343,-1218.0
MM_0,MarketMaker,15.355,-1217.0
MM_0,MarketMaker,15.385,-1210.0
